Index,Eigenvalue,MagZ,MagX
1,-28.0,-0.5,0.0
2,-28.0,0.5,0.0
3,-20.03125,0.37500003,-9.2835384e-10
4,-20.031248,-0.37499994,-8.553298e-8
5,-20.031248,0.375,1.7017718e-9
6,-20.031248,-0.37499994,1.5021439e-7
7,-20.015665,-0.24925171,-0.010252992
8,-20.015657,0.021916851,-0.054995786
9,-20.015654,-0.08486824,0.032243107
10,-20.015654,0.014355931,0.03298512
11,-20.01565,0.02390475,-0.025849696
12,-20.015642,0.1710562,0.02079413
13,-20.015638,-0.026714768,-0.019514771
14,-20.015638,0.0699069,0.068360485
15,-20.015638,0.046358325,-0.02785697
16,-20.015638,0.013335694,-0.015912585
17,-12.897316,-0.37500003,-1.028068e-9
18,-12.897315,0.37499997,0.0
19,-12.611954,-0.37500003,4.454067e-9
20,-12.611952,0.37500003,0.0
21,-12.20525,-0.375,-5.1508643e-8
22,-12.205249,0.3750001,-1.7990458e-9
23,-12.06251,-0.25000012,1.4730136e-6
24,-12.062502,0.20168541,7.950251e-7
25,-12.062502,0.24840043,2.2599418e-6
26,-12.062498,-0.2000859,-6.915199e-7
27,-12.056509,-0.24999976,1.0832898e-7
28,-12.056507,0.24999969,-2.87253e-6
29,-12.046912,0.09032817,0.0017425582
30,-12.046909,-0.0014000951,-0.00552277
31,-12.046909,-0.0007529968,-0.0014540603
32,-12.046909,-0.0010825007,-0.0012212781
33,-12.046907,0.0015290797,0.009882925
34,-12.046907,-0.0252418,0.030728215
35,-12.046907,0.026995502,-0.06138755
36,-12.046905,-0.021063507,0.006477014
37,-12.046892,-0.0316256,-0.013266297
38,-12.046892,0.028979614,0.03293153
39,-12.04689,-0.08780214,0.005869076
40,-12.04689,0.021136146,-0.0047616553
41,-12.040859,0.070171766,-3.6718287e-8
42,-12.040855,-0.07017179,-3.317736e-6
43,-12.031771,0.09586435,-0.0005379745
44,-12.031768,-0.09586556,-4.0976127e-5
45,-12.031309,1.3550795e-6,0.00059615646
46,-12.031309,2.1887338e-8,-3.1358173e-5
47,-12.030796,0.124999486,-1.0961714e-6
48,-12.03079,-0.12499957,1.0574416e-6
49,-12.021555,-0.24042119,2.2719979e-8
50,-12.021555,0.24042113,-1.3173246e-6
51,-12.00596,-0.058559004,3.580002e-8
52,-12.00596,0.058559053,9.7837834e-8
53,-11.760877,0.37499997,0.0
54,-11.760876,-0.3750001,9.8226e-9
55,-11.366185,-0.375,7.2093007e-9
56,-11.366185,0.37500003,0.0
57,-11.095922,-0.37499994,1.486059e-8
58,-11.0959215,0.375,0.0
59,-4.88719,-0.24922247,-1.582717e-6
60,-4.88719,0.24980912,-2.104732e-6
61,-4.887185,0.24920945,1.2820386e-6
62,-4.887185,-0.24979623,-7.889589e-6
63,-4.8731413,0.11047358,0.005791879
64,-4.8731413,0.00024162933,-0.00069972745
65,-4.8731413,-0.00033394477,-0.016491096
66,-4.8731413,-0.00035901027,0.00050920626
67,-4.873129,-0.08176863,0.0028468894
68,-4.873129,-0.028253574,0.008052988
69,-4.502368,-0.16554348,-3.0065535e-6
70,-4.502368,-0.1532335,-1.5837022e-6
71,-4.502368,0.0972231,-2.173434e-6
72,-4.502368,0.22155374,1.5285448e-6
73,-4.4910545,-0.11911879,-0.0055818344
74,-4.4910545,-0.044059068,-0.005158842
75,-4.49105,-1.1417321e-5,-0.00012785044
76,-4.49105,-0.00024792113,0.0030204372
77,-4.491042,0.12402678,0.005548938
78,-4.491042,0.03941043,0.0023047063
79,-4.0906963,0.12346224,9.157636e-6
80,-4.0906963,-0.12346286,1.7901705e-6
81,-4.090562,-0.09194027,-9.295596e-6
82,-4.090562,0.09194089,6.9380935e-6
83,-4.0787582,7.4404266e-10,-1.3443437e-5
84,-4.0786533,7.0755907e-13,5.2994255e-7
85,-4.077628,7.076815e-10,-5.065937e-6
86,-4.077527,6.149168e-10,-5.974199e-7
87,-4.0693617,-0.116962485,1.431843e-6
88,-4.0693617,0.11696349,9.2411415e-7
89,-4.069315,0.118686594,-1.6042139e-5
90,-4.069315,-0.11868763,1.6438027e-5
91,-4.0624237,2.4231979e-9,1.3482291e-5
92,-4.0624237,-1.9450532e-9,-6.1300207e-6
93,-4.0429783,0.11902576,1.4880053e-6
94,-4.0429783,-0.11903078,1.0505022e-6
95,-4.042945,0.09709519,-1.9243173e-6
96,-4.042945,-0.09709012,1.0569885e-6
97,-4.0312033,-2.2090917e-10,-4.566778e-6
98,-4.0311985,5.5722327e-10,5.113353e-6
99,-3.9949327,-0.032502808,-9.027649e-6
100,-3.9949327,0.24178462,-1.02864e-6
101,-3.9949327,-0.21565941,-3.195513e-6
102,-3.9949327,0.006377555,-7.894093e-6
103,-3.9844935,-0.030672941,0.007927647
104,-3.9844935,0.113082856,-0.0047543133
105,-3.9844892,0.0017044133,-0.0151572265
106,-3.9844892,-0.0025087174,-0.016241435
107,-3.9844809,-0.112307005,0.0112508815
108,-3.9844809,0.0307014,0.016993029
109,-3.505433,0.18917568,1.0718243e-6
110,-3.505433,0.23929757,5.6803424e-7
111,-3.505429,-0.23586872,-2.6208027e-6
112,-3.505429,-0.1926047,-2.3375653e-6
113,-3.493364,0.06346223,-0.0022115859
114,-3.493364,-0.12288912,-0.004968537
115,-3.4933598,-0.0012702137,-0.060983397
116,-3.4933598,-0.004033542,0.06700895
117,-3.4933515,-0.0001577171,0.00022449625
118,-3.4933515,0.06488834,0.00093341374
119,-3.1569283,0.19249664,-9.625583e-7
120,-3.1569283,-0.23115352,-1.8927565e-6
121,-3.156924,0.22696866,1.614787e-7
122,-3.156924,-0.18831187,3.6757507e-7
123,-3.1424387,0.07414341,0.0010500601
124,-3.1424387,0.0038228426,-0.021993017
125,-3.1424387,-0.07054496,0.0023990592
126,-3.1424346,-0.0073840963,0.023771765
127,-3.142422,-0.0038860328,-0.00033332768
128,-3.142422,0.0038487853,-0.0048923246
129,2.667372,0.20772572,-4.4395132e-10
130,2.6673763,-0.20772588,-2.1623181e-8
131,3.152921,0.124854885,-7.3860115e-6
132,3.152921,-0.124855034,-4.5674983e-6
133,3.153026,-0.06616112,2.777742e-6
134,3.153026,0.066161245,-4.235114e-6
135,3.1654232,-2.8109273e-9,9.854789e-6
136,3.1654863,-1.876323e-8,1.083584e-6
137,3.1661627,-0.0980505,0.00048501266
138,3.1661627,0.098050594,0.0007701947
139,3.1662552,-2.6024003e-7,-0.00085951237
140,3.1663141,1.09526596e-7,-0.00039694982
141,3.1739373,0.2475607,1.154571e-6
142,3.1739373,-0.24756078,3.325586e-7
143,3.1922386,0.033658627,1.4202004e-6
144,3.1922426,-0.03365864,1.1503176e-6
145,3.555872,0.22706155,5.4105953e-7
146,3.555872,-0.2270616,1.9874381e-8
147,3.664941,-0.24978192,2.5967918e-7
148,3.664941,0.24978194,-3.1409385e-7
149,3.6873107,0.100456044,1.2004081e-5
150,3.6873107,-0.1004479,2.488886e-5
151,3.6874118,-0.09723653,1.51305085e-5
152,3.687416,0.09722831,-1.1428746e-5
153,3.6965773,1.295765e-7,-3.563173e-5
154,3.6966403,3.319735e-7,1.082701e-7
155,3.6969678,-0.100127645,-0.00042330768
156,3.6969721,0.100129,-0.0003008823
157,3.6971824,-1.4198617e-6,0.00042478606
158,3.697241,-3.9547612e-7,0.00029900286
159,3.7162397,-0.12427734,-2.8218078e-6
160,3.716244,0.12427727,-3.18446e-6
161,3.9055748,3.8395567e-12,1.967884e-7
162,3.9074786,1.1339134e-12,-1.10683956e-7
