Index,Eigenvalue,MagZ,MagX
1,-3.3749313,1.3520317e-13,-1.5038458e-7
2,-2.982241,2.5580605e-6,9.064073e-8
3,-2.9822404,-0.12499995,1.228257e-8
4,-2.982239,0.12499738,1.896169e-8
5,-2.5037289,-0.12375122,-1.4544793e-7
6,-2.5037282,0.12484059,-5.5953904e-9
7,-2.5037282,-0.0010893412,5.796821e-9
8,-2.3338022,1.333911e-13,-6.9454447e-9
9,-2.1081295,0.0070786355,-1.7237701e-8
10,-2.108129,0.11790908,8.0053496e-8
11,-2.1081288,-0.124987766,9.552547e-8
12,-2.0567575,0.0014903183,-3.564696e-8
13,-2.056757,-0.12480372,3.887388e-9
14,-2.0567567,0.12331338,4.3598067e-8
15,-1.9172069,-7.457417e-13,9.203935e-8
16,-1.8488344,-0.040414404,-1.0228995e-7
17,-1.8488342,-0.08458083,-4.0024446e-8
18,-1.8488334,0.1249952,2.5755444e-9
19,-1.8316144,-0.0077313264,2.0343268e-8
20,-1.8316137,-0.1160261,-2.4412954e-9
21,-1.8316137,0.12369413,-1.1391618e-8
22,-1.8316132,-0.24993488,-6.2025244e-8
23,-1.8316131,0.2499979,-2.7935643e-9
24,-1.6747085,-0.124711245,5.2275535e-9
25,-1.6747059,0.0026949684,4.176478e-8
26,-1.6747059,0.12201637,-1.2332428e-8
27,-1.6452035,2.5032182e-13,-6.131995e-9
28,-1.4656675,-0.237219,-5.8645472e-8
29,-1.4656667,-0.077952616,2.3268088e-8
30,-1.4656664,0.24972549,-6.3799575e-9
31,-1.4656663,0.12504569,3.304895e-8
32,-1.4656658,-0.05959959,-4.4330005e-8
33,-1.4244169,-0.028585596,1.2022119e-7
34,-1.4244152,0.122236215,-5.229545e-7
35,-1.424415,-0.09365066,-2.5635831e-8
36,-1.3950123,5.2545152e-11,9.1349295e-7
37,-1.2282745,-0.11875577,-3.1877425e-6
38,-1.2282734,-0.0055568987,3.1976595e-7
39,-1.228273,0.12431264,-2.0358706e-7
40,-1.2256334,0.24998482,1.9990198e-7
41,-1.225633,-0.047497544,3.2567486e-6
42,-1.2256328,-0.23306572,-1.6265157e-7
43,-1.2256327,0.122561656,1.1607431e-6
44,-1.2256318,-0.09198308,-1.3699212e-6
45,-1.1209825,2.370401e-13,3.916781e-8
46,-1.0381049,-0.12509432,1.910629e-8
47,-1.0381045,0.2469926,1.73908e-8
48,-1.0381044,0.09217358,5.518755e-9
49,-1.0381043,-0.24182546,2.3932902e-8
50,-1.0381037,0.027753564,-3.2147005e-9
51,-0.99669224,0.018303867,2.6248563e-7
52,-0.99669194,-0.09896764,-1.6385368e-8
53,-0.9966912,0.08066379,-5.095822e-7
54,-0.9827637,-0.0021797644,4.7359046e-7
55,-0.9827627,0.124988325,-2.0323112e-7
56,-0.9827622,-0.122808576,6.8714884e-10
57,-0.8024209,-0.1273509,-1.3057121e-8
58,-0.80242014,0.0880454,3.480971e-8
59,-0.8024201,-0.24712259,2.1611486e-8
60,-0.8024199,0.036628205,-5.1367277e-8
61,-0.80241984,0.2497998,-2.5504359e-9
